Cod_provincia,provincia_cut,provincia_mob
112,Aisén,Aysén Province
122,Antártica Chilena,
21,Antofagasta,Antofagasta Province
82,Arauco,Arauco Province
151,Arica,Arica Province
83,Biobío,Bío Bío Province
61,Cachapoal,Cachapoal
113,Capitán Prat,Capitán Prat Province
62,Cardenal Caro,Cardenal Caro
72,Cauquenes,Cauquenes Province
91,Cautín,Cautín Province
133,Chacabuco,Chacabuco Province
32,Chañaral,Chañaral Province
102,Chiloé,Chiloé Province
42,Choapa,Choapa Province
111,Coihaique,Coyhaique Province
63,Colchagua,Colchagua
81,Concepción,Concepción Province
31,Copiapó,Copiapó Province
132,Cordillera,Cordillera Province
73,Curicó,Curicó Province
161,Diguillín,Diguillín Province
22,El Loa,El Loa
41,Elqui,Elqui Province
114,General Carrera,General Carrera Province
33,Huasco,Huasco Province
11,Iquique,Iquique Province
52,Isla de Pascua,Easter Island
162,Itata,Itata Province
43,Limarí,Limarí Province
74,Linares,Linares Province
101,Llanquihue,Llanquihue Province
53,Los Andes,Los Andes Province
121,Magallanes,Magallanes Province
134,Maipo,Maipo Province
92,Malleco,Malleco Province
58,Marga Marga,Marga Marga
135,Melipilla,Melipilla Province
103,Osorno,Osorno Province
104,Palena,Palena Province
152,Parinacota,
54,Petorca,Petorca Province
163,Punilla,Punilla Province
55,Quillota,Quillota Province
142,Ranco,El Ranco Province
56,San Antonio,San Antonio Province
57,San Felipe de Aconcagua,San Felipe de Aconcagua
131,Santiago,Santiago Province
136,Talagante,Talagante Province
71,Talca,Talca Province
14,Tamarugal,Tamarugal
123,Tierra del Fuego,Tierra del Fuego Province
23,Tocopilla,Tocopilla Province
124,Última Esperanza,Última Esperanza
141,Valdivia,Valdivia Province
51,Valparaíso,Valparaíso Province
